"SOMAseqID","TargetFullName","Target","UniProt","EntrezGeneSymbol"
"X3302.58","Cystatin-F","CYTF","O76096","CST7"
"X3303.23","Cystatin-M","Cystatin M","Q15828","CST6"
"X3305.6","Delta-like protein 4","DLL4","Q9NR61","DLL4"
"X3311.27","Low affinity immunoglobulin gamma Fc region receptor III-B","FCG3B","O75015","FCGR3B"
"X3312.64","High affinity immunoglobulin gamma Fc receptor I","FCGR1","P12314","FCGR1A"
"X3313.21","Ficolin-2","FCN2","Q15485","FCN2"
"X3314.74","GDNF family receptor alpha-1","GFRa-1","P56159","GFRA1"
"X3315.15","Glypican-2","GPC2","Q8N158","GPC2"
"X3320.49","Insulin-like growth factor-binding protein 7","IGFBP-7","Q16270","IGFBP7"
"X3321.2","Interleukin-24","IL24","Q13007","IL24"
"X3323.37","Low-density lipoprotein receptor-related protein 8","LRP8","Q14114","LRP8"
"X3324.51","T-lymphocyte surface antigen Ly-9","LY9","Q9HBG7","LY9"
"X3325.2","Matrilin-2","MATN2","O00339","MATN2"
"X3331.8","RGM domain family member B","RGMB","Q6NW40","RGMB"
"X3332.57","Hemojuvelin","RGM-C","Q6ZVN8","HFE2"
"X3336.50","Tissue factor pathway inhibitor","TFPI","P10646","TFPI"
"X3339.33","Thrombospondin-2","TSP2","P35442","THBS2"
"X3341.33","Tyrosine-protein kinase ABL1","ABL1","P00519","ABL1"
"X3343.1","Aminoacylase-1","Aminoacylase-1","Q03154","ACY1"
"X3344.60","Antithrombin-III","Antithrombin III","P01008","SERPINC1"
"X3346.72","Aurora kinase B","AURKB","Q96GD4","AURKB"
"X3347.9","beta-adrenergic receptor kinase 1","BARK1","P25098","ADRBK1"
"X3348.49","Bone morphogenetic protein 1","BMP-1","P13497","BMP1"
"X3350.53","Calcium/calmodulin-dependent protein kinase type II subunit alpha","CAMK2A","Q9UQM7","CAMK2A"
"X3351.1","Calcium/calmodulin-dependent protein kinase type II subunit beta","CAMK2B","Q13554","CAMK2B"
"X3356.50","Carbonic anhydrase 7","Carbonic anhydrase VII","P43166","CA7"
"X3357.67","Cyclin-dependent kinase 2:Cyclin-A2 complex","CDK2/cyclin A","P24941 P20248","CDK2 CCNA2"
"X3359.11","Cyclin-dependent kinase 8:Cyclin-C complex","CDK8/cyclin C","P49336 P24863","CDK8 CCNC"
"X3360.50","Serine/threonine-protein kinase Chk2","Chk2","O96017","CHEK2"
"X3361.26","C-type lectin domain family 4 member K","CLC4K","Q9UJ71","CD207"
"X3363.31","Tyrosine-protein kinase CSK","CSK","P41240","CSK"
"X3364.76","Cathepsin L2","Cathepsin V","O60911","CTSV"
"X3367.8","Fetuin-B","FETUB","Q9UGM5","FETUB"
"X3373.5","Granzyme H","Granzyme H","P20718","GZMH"
"X3374.49","Tyrosine-protein kinase HCK","HCK","P08631","HCK"
"X3376.49","Interleukin-17 receptor D","IL-17 RD","Q8NFM7","IL17RD"
"X3378.49","Kallikrein-7","Kallikrein 7","P49862","KLK7"
"X3379.29","Protein kinase C iota type","KPCI","P41743","PRKCI"
"X3387.1","Serine/threonine-protein kinase PAK 3","PAK3","O75914","PAK3"
"X3388.58","Serine/threonine-protein kinase PAK 7","PAK7","Q9P286","PAK7"
"X3389.7","Plasma serine protease inhibitor","PCI","P05154","SERPINA5"
"X3390.72","PIK3CA/PIK3R1","PIK3CA/PIK3R1","P42336 P27986","PIK3CA PIK3R1"
"X3391.10","Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform","PK3CG","P48736","PIK3CG"
"X3392.68","RAC-alpha/beta/gamma serine/threonine-protein kinase","PKB a/b/g","P31749 P31751 Q9Y243","AKT1 AKT2 AKT3"
"X3394.81","Serine/threonine-protein kinase PLK1","PLK-1","P53350","PLK1"
"X3399.31","Stabilin-2","STAB2","Q8WWQ8","STAB2"
"X3400.49","Serine/threonine-protein kinase TBK1","TBK1","Q9UHD2","TBK1"
"X3401.8","Tyrosine-protein phosphatase non-receptor type 2","TCPTP","P17706","PTPN2"
"X3403.1","Tryptase beta-2","TPSB2","P20231","TPSB2"
"X3404.51","Tryptase gamma","TPSG1","Q9NRR2","TPSG1"
"X3412.7","Apoptosis regulator Bcl-2","Bcl-2","P10415","BCL2"
"X3413.50","Bcl-2-related protein A1","BFL1","Q16548","BCL2A1"
"X3415.61","Bone sialoprotein 2","BSP","P21815","IBSP"
"X3418.12","Calcium/calmodulin-dependent protein kinase type 1D","CAMK1D","Q8IU85","CAMK1D"
"X3419.49","Calcium/calmodulin-dependent protein kinase type II subunit delta","CAMK2D","Q13557","CAMK2D"
"X3421.54","Tumor necrosis factor ligand superfamily member 8","CD30 Ligand","P32971","TNFSF8"
"X3422.4","Cyclin-dependent kinase 1:G2/mitotic-specific cyclin-B1 complex","CDK1/cyclin B","P06493 P14635","CDC2 CCNB1"
"X3423.59","Chymase","Chymase","P23946","CMA1"
"X3427.63","Casein kinase II subunit alpha","CSK21","P68400","CSNK2A1"
"X3432.21","Ephrin type-A receptor 3","EPHA3","P29320","EPHA3"
"X3434.34","Fibronectin Fragment 3","FN1.3","P02751","FN1"
"X3435.53","Fibronectin Fragment 4","FN1.4","P02751","FN1"
"X3437.80","Receptor-type tyrosine-protein kinase FLT3","Flt-3","P36888","FLT3"
"X3438.10","Follistatin-related protein 3","FSTL3","O95633","FSTL3"
"X3440.7","Granzyme A","granzyme A","P12544","GZMA"
"X3443.61","Homeodomain-interacting protein kinase 3","HIPK3","Q9H422","HIPK3"
"X3445.53","Interleukin-15 receptor subunit alpha","IL-15 Ra","Q13261","IL15RA"
"X3447.64","Interleukin-8","IL-8","P10145","CXCL8"
"X3450.4","Kallikrein-6","Kallikrein 6","Q92876","KLK6"
"X3452.17","Tyrosine-protein kinase Lck","LCK","P06239","LCK"
"X3459.49","Platelet-derived growth factor receptor beta","PDGF Rb","P09619","PDGFRB"
"X3461.58","Brevican core protein","PGCB","Q96GW7","BCAN"
"X3469.74","Ribosomal protein S6 kinase alpha-3","RPS6KA3","P51812","RPS6KA3"
"X3470.1","E-selectin","sE-Selectin","P16581","SELE"
"X3471.49","Serine/threonine-protein kinase 16","STK16","O75716","STK16"
"X3472.40","Baculoviral IAP repeat-containing protein 5","Survivin","O15392","BIRC5"
"X3473.78","Thrombopoietin Receptor","Thrombopoietin Receptor","P40238","MPL"
"X3474.19","Thrombospondin-1","Thrombospondin-1","P07996","THBS1"
"X3480.7","Dual specificity protein phosphatase 3","DUS3","P51452","DUSP3"
"X3486.58","Fibroblast growth factor 1","b-ECGF","P05230","FGF1"
"X3489.9","Ciliary neurotrophic factor","CNTF","P26441","CNTF"
"X3494.71","Fibroblast growth factor 17","FGF-17","O60258","FGF17"
"X3497.13","Interferon alpha-2","IFN-aA","P01563","IFNA2"
"X3499.77","Interleukin-17B","IL-17B","Q9UHF5","IL17B"
"X3503.4","Integrin alpha-I: beta-1 complex","Integrin a1b1","P56199, P05556","ITGA1 ITGB1"
"X3505.6","Lymphotoxin alpha1:beta2","Lymphotoxin a1/b2","P01374, Q06643","LTA LTB"
"X3506.49","Lymphotoxin alpha2:beta1","Lymphotoxin a2/b1","P01374, Q06643","LTA LTB"
"X3516.60","Stromal cell-derived factor 1","SDF-1","P48061","CXCL12"
"X3520.58","Transforming growth factor beta-3","TGF-b3","P10600","TGFB3"
"X3522.57","Vasoactive Intestinal Peptide","Vasoactive Intestinal Peptide","P01282","VIP"
"X3534.14","CD40 ligand","CD40 ligand, soluble","P29965","CD40LG"
"X3535.84","Dickkopf-related protein 1","DKK1","O94907","DKK1"
"X3538.26","Aromatic-L-amino-acid decarboxylase","dopa decarboxylase","P20711","DDC"
"X3554.24","Adiponectin","Adiponectin","Q15848","ADIPOQ"
"X3583.54","Arylsulfatase A","Arylsulfatase A","P15289","ARSA"
"X3585.54","Basigin","BASI","P35613","BSG"
"X3587.53","Bone morphogenetic protein 10","BMP10","O95393","BMP10"
"X3591.51","Cadherin-6","Cadherin-6","P55285","CDH6"
"X3592.4","Calcium/calmodulin-dependent protein kinase type 1","CAMK1","Q14012","CAMK1"
"X3593.72","Caspase-3","Caspase-3","P42574","CASP3"
"X3594.6","Cathepsin E","CATE","P14091","CTSE"
"X3600.2","Chitotriosidase-1","Chitotriosidase-1","Q13231","CHIT1"
"X3601.54","Neural cell adhesion molecule L1-like protein","CHL1","O00533","CHL1"
"X3603.60","C-type lectin domain family 7 member A","CLC7A","Q9BXN2","CLEC7A"
"X3605.77","Mannan-binding lectin serine protease 1","MASP3","P48740","MASP1"
"X3607.71","Dickkopf-related protein 3","DKK3","Q9UBP4","DKK3"
"X3608.12","Dipeptidyl peptidase 2","DPP2","Q9UHL4","DPP7"
"X3611.70","Endothelin-converting enzyme 1","Endothelin-converting enzyme 1","P42892","ECE1"
"X3613.62","Ficolin-1","FCN1","O00602","FCN1"
"X3616.3","N-acetylglucosamine-6-sulfatase","GNS","P15586","GNS"
"X3620.67","Interleukin-22 receptor subunit alpha-1","IL22RA1","Q8N6P7","IL22RA1"
"X3623.84","Lymphocyte antigen 86","LY86","O95711","LY86"
"X3628.3","Dual specificity mitogen-activated protein kinase kinase 2","MP2K2","P36507","MAP2K2"
"X3629.60","Serine/threonine-protein kinase MRCK beta","MRCKB","Q9Y5S2","CDC42BPB"
"X3630.27","Cell adhesion molecule 3","Nectin-like protein 1","Q8N126","CADM3"
"X3633.70","Nidogen-2","NID2","Q14112","NID2"
"X3636.37","Oxidized low-density lipoprotein receptor 1","OLR1","P78380","OLR1"
"X3640.14","alpha-2-macroglobulin receptor-associated protein","RAP","P30533","LRPAP1"
"X3642.4","SLAM family member 5","SLAF5","Q9UIB8","CD84"
"X3646.7","Tyrosine-protein kinase Tec","TEC","P42680","TEC"
"X3647.49","Toll-like receptor 4:Lymphocyte antigen 96 complex","TLR4:MD-2 complex","O00206  Q9Y6Y9","TLR4 LY96"
"X3651.50","Vascular endothelial growth factor receptor 2","VEGF sR2","P35968","KDR"
"X3654.27","BMP-binding endothelial regulator protein","BMPER","Q8N8U9","BMPER"
"X3656.9","Cadherin-12","Cadherin-12","P55289","CDH12"
"X3666.17","Complement factor H-related protein 5","complement factor H-related 5","Q9BXR6","CFHR5"
"X3676.15","Cation-independent mannose-6-phosphate receptor","IGF-II receptor","P11717","IGF2R"
"X3684.78","Macrophage scavenger receptor types I and II","Macrophage scavenger receptor","P21757","MSR1"
"X3685.53","Membrane frizzled-related protein","MFRP","Q9BY79","MFRP"
"X3707.12","Serum albumin","Albumin","P02768","ALB"
"X3709.4","Alanine aminotransferase 1","ALT","P24298","GPT"
"X3714.49","Creatine kinase M-type:Creatine kinase B-type heterodimer","CK-MB","P12277 P06732","CKB CKM"
"X3719.2","Cyclin-dependent kinase inhibitor 1B","p27Kip1","P46527","CDKN1B"
"X3723.1","Brain natriuretic peptide 32","BNP-32","P16860","NPPB"
"X3727.35","Peptide YY","PYY","P10082","PYY"
"X3728.52","Secretin","Secretin","P09683","SCT"
"X3730.81","Tumor necrosis factor receptor superfamily member 4","TNR4","P43489","TNFRSF4"
"X3738.54","Macrophage colony-stimulating factor 1","CSF-1","P09603","CSF1"
"X3758.68","Activated Protein C","Activated Protein C","P04070","PROC"
"X3766.51","Syntaxin-1A","STX1a","Q16623","STX1A"
"X3796.79","Angiopoietin-related protein 4","ANGL4","Q9BY76","ANGPTL4"
"X3797.1","Cadherin-2","Cadherin-2","P19022","CDH2"
"X3799.11","Carbonic anhydrase 3","Carbonic anhydrase III","P07451","CA3"
"X3800.71","Creatine kinase B-type","CK-BB","P12277","CKB"
"X3802.50","Cystatin-S","Cystatin-S","P01036","CST4"
"X3803.10","Cystatin-D","CYTD","P28325","CST5"
"X3805.16","Endothelial cell-specific molecule 1","Endocan","Q9NQ30","ESM1"
"X3806.55","Ephrin type-A receptor 5","EphA5","P54756","EPHA5"
"X3807.1","Fibroblast growth factor 23","FGF23","Q9GZV9","FGF23"
"X3808.76","Fibroblast growth factor receptor 2","FGFR-2","P21802","FGFR2"
"X3809.1","Fibroblast growth factor receptor 3","FGFR-3","P22607","FGFR3"
"X3810.50","Tyrosine-protein kinase Fgr","FGR","P09769","FGR"
"X3813.3","Tyrosine-protein kinase Fyn","FYN","P06241","FYN"
"X3815.14","Interleukin-12 receptor subunit beta-2","IL-12 RB2","Q99665","IL12RB2"
"X3817.18","Protein kinase C theta type","KPCT","Q04759","PRKCQ"
"X3820.68","MAP kinase-activated protein kinase 2","MAPK2","P49137","MAPKAPK2"
"X3821.28","MAP kinase-activated protein kinase 5","MAPK5","Q8IW41","MAPKAPK5"
"X3822.54","MAP kinase-activated protein kinase 3","MAPKAPK3","Q16644","MAPKAPK3"
"X3823.9","Megakaryocyte-associated tyrosine-protein kinase","MATK","P42679","MATK"
"X3825.18","Mitogen-activated protein kinase 8","MK08","P45983","MAPK8"
"X3828.54","Platelet-derived growth factor C","PDGF-CC","Q9NRA1","PDGFC"
"X3831.21","Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN","pTEN","P60484","PTEN"
"X3832.51","Protein-tyrosine kinase 6","PTK6","Q13882","PTK6"
"X3835.11","Toll-like receptor 2","TLR2","O60603","TLR2"
"X3836.51","Ubiquitin-fold modifier 1","UFM1","P61960","UFM1"
"X3844.2","Peptidyl-prolyl cis-trans isomerase A","Cyclophilin A","P62937","PPIA"
"X3847.56","Persulfide dioxygenase ETHE1, mitochondrial","ETHE1","O95571","ETHE1"
"X3852.19","DnaJ homolog subfamily B member 1","HSP 40","P25685","DNAJB1"
"X3855.56","Peroxiredoxin-1","Peroxiredoxin-1","Q06830","PRDX1"
"X3858.5","Low molecular weight phosphotyrosine protein phosphatase","PPAC","P24666","ACP1"
"X3859.50","Proteasome subunit alpha type-1","PSA1","P25786","PSMA1"
"X3860.7","Proteasome subunit alpha type-6","PSA6","P60900","PSMA6"
"X3865.53","Ribosomal protein S6 kinase alpha-5","RSK-like protein kinase","O75582","RPS6KA5"
"X3866.7","Ribosome maturation protein SBDS","SBDS","Q9Y3A5","SBDS"
"X3867.49","Seizure 6-like protein 2","SE6L2","Q6UXD5","SEZ6L2"
"X3874.8","Ubiquitin-conjugating enzyme E2 L3","UB2L3","P68036","UBE2L3"
"X3875.62","AT-rich interactive domain-containing protein 3A","ARI3A","Q99856","ARID3A"
"X3877.67","Calcium/calmodulin-dependent protein kinase kinase 1","CaMKK alpha","Q8N5S9","CAMKK1"
"X3879.50","Hsp90 co-chaperone Cdc37","CDC37","Q16543","CDC37"
"X3881.49","Dynein light chain 1, cytoplasmic","DLC8","P63167","DYNLL1"
"X3888.8","Inhibitor of growth protein 1","ING1","Q9UK53","ING1"
"X3891.56","Methyl-CpG-binding domain protein 4","MBD4","O95243","MBD4"
"X3896.5","Phosphoglycerate mutase 1","Phosphoglycerate mutase 1","P18669","PGAM1"
"X3898.5","26S proteasome non-ATPase regulatory subunit 7","PSD7","P51665","PSMD7"
"X3902.21","S-phase kinase-associated protein 1","SKP1","P63208","SKP1"
"X3905.62","Ubiquitin-conjugating enzyme E2 N","UBE2N","P61088","UBE2N"
"X4122.12","Epithelial discoidin domain-containing receptor 1","discoidin domain receptor 1","Q08345","DDR1"
"X4126.22","Bactericidal permeability-increasing protein","BPI","P17213","BPI"
"X4127.75","Complement component C6","C6","P13671","C6"
"X4128.27","C-C motif chemokine 24","Eotaxin-2","O00175","CCL24"
"X4130.71","Fibroblast growth factor 6","FGF-6","P10767","FGF6"
"X4131.72","Fibronectin","Fibronectin","P02751","FN1"
"X4132.27","Follistatin","FST","P19883","FST"
"X4133.54","Granzyme B","Granzyme B","P10144","GZMB"
"X4134.4","Heparin-binding EGF-like growth factor","HB-EGF","Q99075","HBEGF"
"X4135.84","Immunoglobulin E","IgE","P01854","IGHE IGK@ IGL@"
"X4136.40","Interleukin-17D","IL-17D","Q8TAD2","IL17D"
"X4137.57","Interleukin-25","IL-17E","Q9H293","IL25"
"X4138.25","Interleukin-20","IL-20","Q9NYY1","IL20"
"X4139.71","Interleukin-6 receptor subunit alpha","IL-6 sRa","P08887","IL6R"
"X4140.3","Interleukin-7","IL-7","P13232","IL7"
"X4141.79","C-X-C motif chemokine 10","IP-10","P02778","CXCL10"
"X4144.13","C-C motif chemokine 13","MCP-4","Q99616","CCL13"
"X4146.58","Neurotrophin-4","Neurotrophin-5","P34130","NTF4"
"X4148.49","Pappalysin-1","PAPP-A","Q13219","PAPPA"
"X4149.8","Platelet-derived growth factor subunit B","PDGF-BB","P01127","PDGFB"
"X4151.6","Plasminogen","Plasminogen","P00747","PLG"
"X4155.3","Tenascin","Tenascin","P24821","TNC"
"X4156.74","Transforming growth factor beta-2","TGF-b2","P61812","TGFB2"
"X4158.54","Urokinase-type plasminogen activator","uPA","P00749","PLAU"
"X4179.57","14-3-3 protein family","14-3-3","P31946, P62258, P61981, Q04917, P27348, P63104, P31947","YWHAB,YWHAE,YWHAG,YWHAH,YWHAQ,YWHAZ,SFN"
"X4184.43","Eukaryotic translation initiation factor 4E-binding protein 2","4EBP2","Q13542","EIF4EBP2"
"X4192.10","Alcohol dehydrogenase [NADP(+)]","AK1A1","P14550","AKR1A1"
"X4203.50","Cofilin-1","Cofilin-1","P23528","CFL1"
"X4212.5","Epidermal growth factor receptor substrate 15-like 1","EP15R","Q9UBC2","EPS15L1"
"X4217.49","3-hydroxyacyl-CoA dehydrogenase type-2","ERAB","Q99714","HSD17B10"
"X4224.7","Heterogeneous nuclear ribonucleoprotein Q","HNRPQ","O60506","SYNCRIP"
"X4230.1","Eukaryotic translation initiation factor 4 gamma 2","IF4G2","P78344","EIF4G2"
"X4232.19","Insulin-like growth factor 1 receptor","IGF-I sR","P08069","IGF1R"
"X4234.8","Interleukin-1 receptor-like 1","IL-1 R4","Q01638","IL1RL1"
"X4237.70","Leucine carboxyl methyltransferase 1","LCMT1","Q9UIC8","LCMT1"
"X4238.4","Protein lin-7 homolog B","LIN7B","Q9HAP6","LIN7B"
"X4245.80","E3 ubiquitin-protein ligase Mdm2","MDM2","Q00987","MDM2"
"X4250.23","NSFL1 cofactor p47","NSF1C","Q9UNZ2","NSFL1C"
"X4254.6","NudC domain-containing protein 3","NUDC3","Q8IVD9","NUDCD3"
"X4261.55","Serum paraoxonase/arylesterase 1","paraoxonase 1","P27169","PON1"
"X4267.81","Pescadillo homolog","PESC","O00541","PES1"
"X4271.75","Prefoldin subunit 5","PFD5","Q99471","PFDN5"
"X4276.10","Phosphatidylethanolamine-binding protein 1","prostatic binding protein","P30086","PEBP1"
"X4278.14","Protein disulfide-isomerase","Protein disulfide-isomerase","P07237","P4HB"
"X4280.47","Proteasome subunit alpha type-2","PSA2","P25787","PSMA2"
"X4284.18","RNA-binding protein 39","RBM39","Q14498","RBM39"
"X4292.5","Alpha-soluble NSF attachment protein","SNAA","P54920","NAPA"
"X4301.58","Thymidine kinase, cytosolic","Thymidine kinase","P04183","TK1"
"X4304.18","Ligand-dependent nuclear receptor corepressor-like protein","transcription factor MLR1, isoform CRA_b","Q8N3X6","LCORL"
"X4306.4","Transketolase","Transketolase","P29401","TKT"
"X4309.59","Triosephosphate isomerase","Triosephosphate isomerase","P60174","TPI1"
"X4314.12","dCTP pyrophosphatase 1","XTP3A","Q9H773","DCTPP1"
"X4318.12","Tyrosine-protein phosphatase non-receptor type 6","PTP-1C","P29350","PTPN6"
"X4322.28","Protein amnionless","AMNLS","Q9BXJ7","AMN"
"X4324.33","Cystatin-SA","CYTT","P09228","CST2"
"X4328.2","Brother of CDO","BOC","Q9BWV1","BOC"
"X4342.10","Intercellular adhesion molecule 1","sICAM-1","P05362","ICAM1"
"X4355.13","Death-associated protein kinase 2","DAPK2","Q9UIK4","DAPK2"
"X4374.45","Growth/differentiation factor 15","MIC-1","Q99988","GDF15"
"X4392.54","Fibroblast growth factor 12","FGF-12","P61328","FGF12"
"X4394.71","Fibroblast growth factor 8 isoform A","FGF-8A","P55075","FGF8"
"X4396.54","Interferon lambda-1","IFN-lambda 1","Q8IU54","IFNL1"
"X4397.26","Interferon lambda-2","IFN-lambda 2","Q8IZJ0","IFNL2"
"X4413.3","Antileukoproteinase","SLPI","P03973","SLPI"
"X4423.77","Bcl-2-like protein 1","BCL2-like 1 protein","Q07817","BCL2L1"
"X4428.1","Carbohydrate sulfotransferase 2","CHST2","Q9Y4C5","CHST2"
"X4435.66","Ectonucleotide pyrophosphatase/phosphodiesterase family member 7","ENPP7","Q6UWV6","ENPP7"
"X4436.1","Ectonucleoside triphosphate diphosphohydrolase 3","ENTP3","O75355","ENTPD3"
"X4437.56","Ectonucleoside triphosphate diphosphohydrolase 5","ENTP5","O75356","ENTPD5"
"X4440.15","Fc receptor-like protein 3","FCRL3","Q96P31","FCRL3"
"X4449.67","Gremlin-1","GREM1","O60565","GREM1"
"X4450.26","Heterogeneous nuclear ribonucleoprotein A/B","hnRNP A/B","Q99729","HNRNPAB"
"X4452.9","Leucine-rich repeat transmembrane neuronal protein 1","LRRT1","Q86UE6","LRRTM1"
"X4453.83","Leucine-rich repeat transmembrane neuronal protein 3","LRRT3","Q86VH5","LRRTM3"
"X4459.68","Proprotein convertase subtilisin/kexin type 7","PCSK7","Q16549","PCSK7"
"X4464.10","Sialoadhesin","Sialoadhesin","Q9BZZ2","SIGLEC1"
"X4467.49","SPARC-like protein 1","SPARCL1","Q14515","SPARCL1"
"X4468.21","Sphingosine kinase 2","SPHK2","Q9NRA0","SPHK2"
"X4472.5","Tropomyosin beta chain","Tropomyosin 2","P07951","TPM2"
"X4476.22","Tyrosine-protein kinase ZAP-70","ZAP70","P43403","ZAP70"
"X4479.14","Plasma protease C1 inhibitor","C1-Esterase Inhibitor","P05155","SERPING1"
"X4480.59","Complement C3b","C3b","P01024","C3"
"X4487.1","Fibroblast growth factor 7","FGF7","P21781","FGF7"
"X4490.65","Interleukin-3 receptor subunit alpha","IL-3 Ra","P26951","IL3RA"
"X4493.92","Interleukin-11","IL-11","P20809","IL11"
"X4496.60","Macrophage metalloelastase","MMP-12","P39900","MMP12"
"X4498.62","Neural cell adhesion molecule 1, 120 kDa isoform","NCAM-120","P13591","NCAM1"
"X4499.21","Platelet-derived growth factor subunit A","PDGF-AA","P04085","PDGFA"
"X4500.50","Stem cell growth factor-alpha","SCGF-alpha","Q9Y240","CLEC11A"
"X4533.76","A disintegrin and metalloproteinase with thrombospondin motifs 15","ATS15","Q8TE58","ADAMTS15"
"X4534.10","Brain-specific serine protease 4","BSSP4","Q9GZN4","PRSS22"
"X4535.50","ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2","BST1","Q10588","BST1"
"X4540.11","Chromobox protein homolog 5","CBX5","P45973","CBX5"
"X4541.49","Cell adhesion molecule-related/down-regulated by oncogenes","CDON","Q4KMG0","CDON"
"X4543.65","Collagen alpha-1(XXIII) chain","CONA1","Q86Y22","COL23A1"
"X4545.53","Mitochondrial import inner membrane translocase subunit TIM14","DnaJ homolog","Q96DA6","DNAJC19"
"X4546.27","Adhesion G protein-coupled receptor E2","EMR2","Q9UHX3","ADGRE2"
"X4547.59","Leucine-rich repeat transmembrane protein FLRT1","FLRT1","Q9NZU1","FLRT1"
"X4548.4","Galactoside 3(4)-L-fucosyltransferase","Fucosyltransferase 3","P21217","FUT3"
"X4551.72","Adhesion G-protein coupled receptor G5","GP114","Q8IZF4","ADGRG5"
"X4553.65","Hepatoma-derived growth factor-related protein 2","HDGR2","Q7Z4V5","HDGFRP2"
"X4556.10","Interleukin-34","IL-34","Q6ZMJ4","IL34"
"X4557.61","Kin of IRRE-like protein 3","KIRR3","Q8IZU9","KIRREL3"
"X4559.64","Kynureninase","KYNU","Q16719","KYNU"
"X4561.65","Baculoviral IAP repeat-containing protein 7 Isoform beta","Livin B","Q96CA5","BIRC7"
"X4562.1","Neurexophilin-1","NXPH1","P58417","NXPH1"
"X4563.61","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1","PLCG1","P19174","PLCG1"
"X4566.24","R-spondin-2","RSPO2","Q6UXX9","RSPO2"
"X4569.52","VPS10 domain-containing receptor SorCS2","SORC2","Q96PQ0","SORCS2"
"X4588.1","Pancreatic hormone","PH","P01298","PPY"
"X4693.72","3-hydroxyisobutyrate dehydrogenase, mitochondrial","3HIDH","P31937","HIBADH"
"X4697.59","Granulocyte-macrophage colony-stimulating factor","GM-CSF","P04141","CSF2"
"X4703.87","Lymphotoxin-alpha","TNF-b","P01374","LTA"
"X4708.3","Estradiol 17-beta-dehydrogenase 1","17-beta-HSD 1","P14061","HSD17B1"
"X4712.28","Apolipoprotein D","Apo D","P05090","APOD"
"X4721.54","Trefoil factor 3","TFF3","Q07654","TFF3"
"X4763.31","Afamin","Afamin","P43652","AFM"
"X4769.10","Olfactomedin-4","Olfactomedin-4","Q6UX06","OLFM4"
"X4771.10","Acid sphingomyelinase-like phosphodiesterase 3a","ASM3A","Q92484","SMPDL3A"
"X4774.62","Protein FAM107B","FAM107B","Q9H098","FAM107B"
"X4801.13","Lactoperoxidase","PERL","P22079","LPO"
"X4807.13","Collagen alpha-1(VIII) chain","CO8A1","P27658","COL8A1"
"X4811.33","Inter-alpha-trypsin inhibitor heavy chain H4","ITI heavy chain H4","Q14624","ITIH4"
"X4815.25","Thioredoxin domain-containing protein 12","TXD12","O95881","TXNDC12"
"X4829.43","14-3-3 protein sigma","STRATIFIN","P31947","SFN"
"X4832.75","Tumor necrosis factor receptor superfamily member 10A","TRAIL R1","O00220","TNFRSF10A"
"X4834.61","Ephrin type-A receptor 2","Epithelial cell kinase","P29317","EPHA2"
"X4840.73","Granulocyte colony-stimulating factor","G-CSF","P09919","CSF3"
"X4842.62","Glypican-3","Glypican 3","P51654","GPC3"
"X4851.25","Interleukin-1 alpha","IL-1a","P01583","IL1A"
"X4859.6","Bone morphogenetic protein receptor type-1A","BMPR1A","P36894","BMPR1A"
"X4862.63","Bone morphogenetic protein receptor type-2","BMP RII","Q13873","BMPR2"
"X4867.15","Vascular endothelial growth factor A, isoform 121","VEGF121","P15692","VEGFA"
"X4874.3","Angiogenin","Angiogenin","P03950","ANG"
"X4878.3","Coagulation Factor X","Coagulation Factor X","P00742","F10"
"X4880.21","Growth/differentiation factor 2","GDF2","Q9UK05","GDF2"
"X4883.56","Insulin","Insulin","P01308","INS"
"X4889.82","Protein Wnt-7a","WNT7A","O00755","WNT7A"
"X4890.10","Corticotropin","ACTH","P01189","POMC"
"X4903.72","Calcineurin","Calcineurin","Q08209  P63098","PPP3CA PPP3R1"
"X4904.7","Caspase-2","Caspase-2","P42575","CASP2"
"X4905.63","Coactosin-like protein","Coactosin-like protein","Q14019","COTL1"
"X4907.56","D-dimer","D-dimer","P02671 P02675 P02679","FGA FGB FGG"
"X4910.21","Phospholipase A2","GIB","P04054","PLA2G1B"
"X4911.49","Glutathione S-transferase P","Glutathione S-transferase Pi","P09211","GSTP1"
"X4912.17","Aspartate aminotransferase, cytoplasmic","GOT1","P17174","GOT1"
"X4914.10","Human Chorionic Gonadotropin","HCG","P01215,P01233","CGA CGB"
"X4916.2","Immunoglobulin D","IgD","P01880","IGHD  IGK@ IGL@"
"X4917.62","Integrin alpha-V: beta-5 complex","Integrin aVb5","P06756, P18084","ITGAV ITGB5"
"X4920.10","Lysozyme C","Lysozyme","P61626","LYZ"
"X4922.13","C-C motif chemokine 19","MIP-3b","Q99731","CCL19"
"X4923.79","Muellerian-inhibiting factor","MIS","P03971","AMH"
"X4924.32","Interstitial collagenase","MMP-1","P03956","MMP1"
"X4925.54","Collagenase 3","MMP-13","P45452","MMP13"
"X4929.55","Sex hormone-binding globulin","SHBG","P04278","SHBG"
"X4931.59","Tissue Factor","TF","P13726","F3"
"X4956.2","Epiregulin","EPI","O14944","EREG"
